[07/01/22 13:43:25] [INFO] received Windows console close event; shutting log-core down
[07/01/22 13:49:24] [INFO] received Windows console close event; shutting log-core down
[07/01/22 13:49:26] [INFO] received Windows console close event; shutting log-core down
[07/01/22 14:00:35] [INFO] received Windows console close event; shutting log-core down
[07/01/22 14:11:43] [INFO] received Windows console close event; shutting log-core down
[07/01/22 14:13:47] [INFO] received Windows console close event; shutting log-core down
[07/01/22 14:15:52] [INFO] received Windows console close event; shutting log-core down
[07/01/22 14:22:28] [INFO] received Windows console close event; shutting log-core down
[07/01/22 14:32:51] [INFO] received Windows console close event; shutting log-core down
[07/01/22 17:21:11] [INFO] received Windows console close event; shutting log-core down
[07/01/22 17:31:42] [INFO] received Windows console close event; shutting log-core down
[07/01/22 17:33:01] [INFO] received Windows console close event; shutting log-core down
[07/01/22 18:06:04] [INFO] received Windows console close event; shutting log-core down
[07/01/22 20:35:50] [INFO] received Windows console close event; shutting log-core down
[07/01/22 20:47:10] [INFO] received Windows console close event; shutting log-core down
[07/01/22 20:50:56] [INFO] received Windows console close event; shutting log-core down
[07/01/22 21:01:55] [INFO] received Windows console close event; shutting log-core down
[07/01/22 21:08:16] [INFO] received Windows console close event; shutting log-core down
[07/01/22 21:19:00] [INFO] received Windows console close event; shutting log-core down
[07/01/22 21:29:14] [INFO] received Windows console close event; shutting log-core down
[07/01/22 21:31:50] [INFO] received Windows console close event; shutting log-core down
[07/01/22 21:44:18] [INFO] received Windows console close event; shutting log-core down
[07/01/22 22:03:24] [INFO] received Windows console close event; shutting log-core down
[07/02/22 16:07:21] [INFO] received Windows console close event; shutting log-core down
[07/02/22 16:30:58] [INFO] received Windows console close event; shutting log-core down
[07/02/22 16:34:29] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[07/02/22 16:44:11] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[07/02/22 20:00:34] [INFO] received Windows console close event; shutting log-core down
[07/02/22 13:59:15] [INFO] received Windows console close event; shutting log-core down
[07/02/22 14:03:22] [INFO] received Windows console close event; shutting log-core down
